message,label
n e,0
u,0
a,1
u u c,0
i,0
,1
,0
,0
a,1
u r,1
i k,0
,1
a,1
i i a,0
i a,0
,1
,0
u i v i v,0
u b,0
v,1
,0
,0
,0
i i u,0
i,0
a i,0
,0
a,0
,0
i,0
x,0
v n,0
k,0
a,0
,1
i i,0
,0
i b,0
u,0
i,0
i a,0
i i i i i,0
a,1
,0
i i,0
,0
b,0
,0
i a,0
u i i i a,0
,0
a a a,0
k x a,0
i i i i i i,0
,1
,0
c v,1
,0
,0
,0
a i,0
,0
a,0
i,0
i v i,0
a i a,1
u,0
a,1
,1
i,0
,0
,0
,0
,0
u,0
i,0
i a,0
i,0
,0
a,0
,0
k,0
i,0
,0
,0
i,0
u i i,0
i i,0
,0
,0
,0
a i i y,0
u u,0
a,1
i e u,0
,1
u,0
i,0
a a i n u,0
i a,0
i,0
i y u x,0
a,0
,0
i i i,0
,0
a,0
i,0
a,0
i i,0
i,0
,0
,0
i i u u,0
a,1
n,0
i i,0
a u a a,1
,0
,0
,1
u,1
,0
a a,1
i,0
,0
,0
i a i i,0
,0
r u u r r c a,0
,0
,0
,0
,0
q a u,1
,1
i,0
,0
i,0
u u,1
c i i i a v,0
k,0
,0
a d,0
i,0
,0
,0
u,1
,0
,0
,0
i,0
i,0
,0
,0
i i a i i,0
,0
,0
a,0
a,1
a u a a,1
i i i,0
,0
i,0
,1
u a u,1
i e,0
a,1
,0
i,0
,0
i,0
u,0
,0
u a m,0
a,0
,0
u,0
,0
i,0
v,0
i a,0
u,0
i a,0
,0
,0
,0
a,0
a,1
i,0
i i u k,0
,1
a a a,0
i,0
i,0
a,0
a,0
u,0
i,0
i i a i u,0
,0
i,0
u u,0
,0
,0
u,0
i,0
i i,0
,0
,0
i,0
a a,0
,0
,0
,0
,0
,0
i,0
,0
i,0
i i,0
,0
,0
,0
u v a i e,0
,1
,0
u a e g,1
,0
,0
i,0
,0
,0
,0
,0
u a u,1
i,0
a,0
,0
d,0
u a,1
i,0
v,0
,0
i u i e u u,0
u,0
i i i i,0
i,0
,0
a,0
,1
,0
u d n n,0
,0
a,0
,0
,0
,0
i,0
a,1
a,0
,0
u,0
h,0
i,1
,0
a,0
a,0
,1
i,0
,1
,0
a,0
,1
i,0
,0
,0
,0
a,0
,0
,0
a,0
u u,0
i,0
,0
i,0
k i,0
,0
r u a,0
a i i i,0
a,0
,0
u i v,0
,0
,0
i,0
a,1
a,0
i i u a,0
i a,0
a,0
i v,0
a u i,0
a,0
a,0
,1
i i,0
u,0
a u,0
,1
,0
,0
,1
a,0
i u i u u,0
a,0
,0
n,0
,0
,1
i,0
i,0
x,0
u b a x,0
a,0
,0
,0
,0
a,0
,0
i a,0
,0
i,0
a,1
i,0
a,1
i,0
,0
,0
,0
u,0
a,0
i,0
u,0
,0
,0
,0
i u,0
,0
a i x,1
a,0
,0
a,0
i i,0
i,0
,0
i,0
,1
,1
i i i,0
a i,0
,0
,0
,0
i,0
i,0
i z,0
,1
,1
,0
,0
i i i i,0
i,0
,0
i i,0
,1
,0
,0
a,0
,0
i i,0
i a a,0
a,0
a,0
i,0
,1
,0
i,0
,0
,1
u,0
,0
,0
i,0
i i i i,0
,0
,0
u a u a i,0
i a,0
a i i,0
i,0
a a,1
,0
,0
,0
,0
i a,0
,0
a,0
,0
u a y,0
,0
i,0
,0
,0
,1
u,0
i a,0
,1
a,0
a a,1
,0
a,1
,0
a,1
,0
i,0
,0
,0
a i,0
i a a,0
,0
a,0
,1
,0
,0
i,0
g,0
,0
u i,0
i i,0
,0
,0
i i c i a,0
,0
a,0
i a,0
i,0
i,0
,0
k,0
,0
a,0
,0
i,0
,1
i,0
a i u a i u,0
i,0
i,0
a i,0
u,0
,0
,1
,0
i,0
i i,0
,0
,0
e,0
,0
,1
,0
i,0
,1
a i u,0
,0
u,0
,0
k i,0
g,0
u a,0
a,0
,0
i,0
,0
,0
,1
,0
i,0
i a,0
i i,0
c v,1
,0
,0
i,0
,0
i i,0
,0
,0
i,0
u u u u u u,0
,0
,0
i a,0
u,1
e,0
,0
i a,0
,0
,0
a,0
,0
,0
,0
a a,1
,0
,1
,1
u n,0
,0
,0
i,0
,0
,0
a,1
i b n,0
t x,1
a,0
u,1
a,0
,1
,0
,0
,0
a i a,0
i a i a,0
a,0
,0
d,0
i,0
,1
a,0
,0
a,0
,0
,0
i i i,0
,0
,0
i i,0
i a i,0
,0
i a,0
a a a,0
a a a a,0
o,0
,0
i,0
,0
u c i u y,0
,0
e v,0
i i,0
a,1
